BlockID,long,lat
1.4.224-6,-71.5700477449867,-16.3261348957044
1.4.224-6,-71.5704832132036,-16.3261296681819
1.4.224-6,-71.570484242889,-16.3272200200782
1.4.224-7,,
1.4.224-7,-71.5709646605783,-16.3261300367861
1.4.224-7,-71.5709824642789,-16.3272284305282
1.4.224-7,-71.5705598547014,-16.3272267924609
1.4.224-7,-71.5705643187924,-16.3261284865725
1.4.224-7,-71.5709646605783,-16.3261300367861
1.4.224-8,,
1.4.224-8,-71.5710684071285,-16.3272334217704
1.4.224-8,-71.5710661539604,-16.3264279408211
1.4.224-8,-71.5717815516373,-16.3272133589712
1.4.224-8,-71.5710684071285,-16.3272334217704
1.4.224-9,,
1.4.224-9,-71.5722971511362,-16.3272351303343
1.4.224-9,-71.5712385347612,-16.3260381578238
1.4.224-9,-71.5715171988171,-16.3259128092322
1.4.224-9,-71.5721809668305,-16.3265402397921
1.4.224-9,-71.572387231571,-16.3267761301155
1.4.224-9,-71.5726114288038,-16.3270955448842
1.4.224-9,-71.5726482823629,-16.3272256646447
1.4.224-9,-71.5722971511362,-16.3272351303343
1.4.227-1,,
1.4.227-1,-71.572607393925,-16.3276723780982
1.4.227-1,-71.5725962564531,-16.3289695486495
1.4.227-1,-71.5722371394737,-16.3289744087551
1.4.227-1,-71.5722458853329,-16.3276812022665
1.4.227-1,-71.572607393925,-16.3276723780982
1.4.227-10,,
1.4.227-10,-71.5739456082853,-16.33112732542
1.4.227-10,-71.5735779282293,-16.3311283610325
1.4.227-10,-71.5735843974577,-16.3299064785754
1.4.227-10,-71.5739386130296,-16.3299034221028
1.4.227-10,-71.5739456082853,-16.33112732542
1.4.227-11,,
1.4.227-11,-71.5748111985915,-16.3301050431467
1.4.227-11,-71.5746062038889,-16.3302110036528
1.4.227-11,-71.5745229742354,-16.3302345181514
1.4.227-11,-71.5744214502517,-16.3302523906838
1.4.227-11,-71.5740362480368,-16.3302407475258
1.4.227-11,-71.57404798117,-16.3299183471597
1.4.227-11,-71.5743508358958,-16.3299047045988
1.4.227-11,-71.5744078629753,-16.3299037725431
1.4.227-11,-71.5744698194043,-16.3298894843925
1.4.227-11,-71.5744892463402,-16.3298787924843
1.4.227-11,-71.5745678588299,-16.3298339886625
1.4.227-11,-71.5748111985915,-16.3301050431467
1.4.227-12,,
1.4.227-12,-71.5751045748309,-16.3304309261775
1.4.227-12,-71.5749732326538,-16.3305328181793
1.4.227-12,-71.5748984778603,-16.3305684740698
1.4.227-12,-71.5748160339315,-16.3306037665073
1.4.227-12,-71.5747133576886,-16.3306427617999
1.4.227-12,-71.57463315446,-16.330663077614
1.4.227-12,-71.5745117972127,-16.3306813385578
1.4.227-12,-71.5743227621704,-16.3306778015734
1.4.227-12,-71.5740291768602,-16.3306824026553
1.4.227-12,-71.5740250213836,-16.3303244614593
1.4.227-12,-71.5744126150664,-16.3303499453381
1.4.227-12,-71.5745435212841,-16.3303337920112
1.4.227-12,-71.5746148430652,-16.3303179297951
1.4.227-12,-71.5747088441393,-16.3302671537188
1.4.227-12,-71.5747887229952,-16.3302180733406
1.4.227-12,-71.57486751405,-16.3301661566039
1.4.227-12,-71.5751045748309,-16.3304309261775
1.4.227-13,,
1.4.227-13,-71.5754063823117,-16.3307525128523
1.4.227-13,-71.575248379259,-16.3308710171153
1.4.227-13,-71.5751431153964,-16.3309289430434
1.4.227-13,-71.5750573427304,-16.3309717353288
1.4.227-13,-71.5749005041345,-16.3310378032869
1.4.227-13,-71.5747803469273,-16.331069344541
1.4.227-13,-71.5746263795217,-16.3311082587113
1.4.227-13,-71.5745088779265,-16.3311138929429
1.4.227-13,-71.5742282722584,-16.3311193582843
1.4.227-13,-71.5742201127053,-16.331119348641
1.4.227-13,-71.5740290692496,-16.3311210424626
1.4.227-13,-71.5740314950455,-16.3307646954074
1.4.227-13,-71.5745093677417,-16.330774197072
1.4.227-13,-71.5746285221274,-16.3307630978992
1.4.227-13,-71.5747421259952,-16.3307498766888
1.4.227-13,-71.5748222281642,-16.3307199482362
1.4.227-13,-71.5748923087867,-16.3306896488214
1.4.227-13,-71.5749815573349,-16.3306287934973
1.4.227-13,-71.5750449819512,-16.3305846972684
1.4.227-13,-71.575163378888,-16.3304839599738
1.4.227-13,-71.5754063823117,-16.3307525128523
1.4.227-14,,
1.4.227-14,-71.5758049854013,-16.330419415233
1.4.227-14,-71.575479127041,-16.3307021598943
1.4.227-14,-71.5746258123583,-16.3297785455145
1.4.227-14,-71.5749910991922,-16.329465776326
1.4.227-14,-71.5758049854013,-16.330419415233
1.4.227-15,,
1.4.227-15,-71.5767512822331,-16.3314446689782
1.4.227-15,-71.5764096318776,-16.3317376827984
1.4.227-15,-71.575547855119,-16.330799978831
1.4.227-15,-71.5758862329481,-16.3305293052212
1.4.227-15,-71.5767512822331,-16.3314446689782
1.4.227-17,,
